0;bryan;beffa;0032-02-23;via cantonale;2323;ofweinjoeij;3232;234567890;b@e.cc;M;;;2018-11-01 - 04:05:04pm//
1;bryan;beffa;0032-02-23;via cantonale;2323;ofweinjoeij;3232;+41798608288;b@e.cc;M;;;2018-11-01 - 04:05:23pm//
2;bryan;beffa;0032-02-23;via cantonale;2323;ofweinjoeij;3232;+41798608288;b@e.cc;M;;;2018-11-01 - 04:41:57pm//
3;bryan;beffa;2018-11-01;via cantonale;2323;ofweinjoeij;3232;+41798608288;b@e.cc;M;;;2018-11-01 - 04:42:25pm//
4;ciao;ciao;2000-02-20;dcfvgbhnjmk;2620;dfghjklé;6788;34567890222;c@d.cc;M;;;2018-11-01 - 04:54:49pm//
5;bryan;beffa;2018-11-01;ezubdndieo;5678;tgzhujklé;6788;3456789033;b@dd.cc;M;;;2018-11-01 - 05:08:24pm//
6;fefn;nknn;2000-02-20;dfghbnjmk;4567;dc;34567;12345673545;s@sss.ccc;M;;;2018-11-01 - 05:14:15pm//
7;       ;nknn;2000-02-20;dfghbnjmk;4567;dc;34567;12345673545;s@sss.ccc;M;;;2018-11-01 - 05:14:29pm//
8;    ;ciao;2000-02-20;dcfvgbhnjmk;2620;dfghjklé;6788;34567890222;c@d.cc;M;;;2018-11-01 - 05:16:03pm//
9;dfghjkl;ghjkléà;0032-03-31;sdfghjkfdfgh;3456;dfghjkgfdfghjk;4565;23456754354;v@s.cc;M;;;2018-11-01 - 05:16:52pm//
10;      ;ghjkléà;0032-03-31;sdfghjkfdfgh;3456;dfghjkgfdfghjk;4565;23456754354;v@s.cc;M;;;2018-11-01 - 05:17:08pm//
